StdOrder,RunOrder,CenterPt,Blocks,Material,InjPress
1,65,1,1,Formula1,75
2,56,1,1,Formula2,75
3,13,1,1,Formula1,150
4,93,1,1,Formula2,150
5,7,1,1,Formula1,75
6,66,1,1,Formula2,75
7,60,1,1,Formula1,150
8,14,1,1,Formula2,150
9,88,1,1,Formula1,75
10,35,1,1,Formula2,75
11,55,1,1,Formula1,150
12,72,1,1,Formula2,150
13,39,1,1,Formula1,75
14,20,1,1,Formula2,75
15,16,1,1,Formula1,150
16,83,1,1,Formula2,150
17,68,1,1,Formula1,75
18,27,1,1,Formula2,75
19,73,1,1,Formula1,150
20,1,1,1,Formula2,150
21,86,1,1,Formula1,75
22,45,1,1,Formula2,75
23,61,1,1,Formula1,150
24,67,1,1,Formula2,150
25,58,1,1,Formula1,75
26,81,1,1,Formula2,75
27,59,1,1,Formula1,150
28,52,1,1,Formula2,150
29,85,1,1,Formula1,75
30,5,1,1,Formula2,75
31,43,1,1,Formula1,150
32,25,1,1,Formula2,150
33,92,1,1,Formula1,75
34,76,1,1,Formula2,75
35,23,1,1,Formula1,150
36,80,1,1,Formula2,150
37,48,1,1,Formula1,75
38,79,1,1,Formula2,75
39,50,1,1,Formula1,150
40,87,1,1,Formula2,150
41,26,1,1,Formula1,75
42,84,1,1,Formula2,75
43,89,1,1,Formula1,150
44,29,1,1,Formula2,150
45,18,1,1,Formula1,75
46,10,1,1,Formula2,75
47,57,1,1,Formula1,150
48,62,1,1,Formula2,150
49,70,1,1,Formula1,75
50,91,1,1,Formula2,75
51,46,1,1,Formula1,150
52,28,1,1,Formula2,150
53,12,1,1,Formula1,75
54,74,1,1,Formula2,75
55,47,1,1,Formula1,150
56,71,1,1,Formula2,150
57,51,1,1,Formula1,75
58,4,1,1,Formula2,75
59,3,1,1,Formula1,150
60,8,1,1,Formula2,150
61,36,1,1,Formula1,75
62,54,1,1,Formula2,75
63,77,1,1,Formula1,150
64,17,1,1,Formula2,150
65,21,1,1,Formula1,75
66,34,1,1,Formula2,75
67,75,1,1,Formula1,150
68,6,1,1,Formula2,150
69,42,1,1,Formula1,75
70,32,1,1,Formula2,75
71,78,1,1,Formula1,150
72,69,1,1,Formula2,150
73,30,1,1,Formula1,75
74,15,1,1,Formula2,75
75,38,1,1,Formula1,150
76,64,1,1,Formula2,150
77,49,1,1,Formula1,75
78,24,1,1,Formula2,75
79,9,1,1,Formula1,150
80,41,1,1,Formula2,150
81,40,1,1,Formula1,75
82,2,1,1,Formula2,75
83,33,1,1,Formula1,150
84,44,1,1,Formula2,150
85,95,1,1,Formula1,75
86,82,1,1,Formula2,75
87,31,1,1,Formula1,150
88,96,1,1,Formula2,150
89,90,1,1,Formula1,75
90,37,1,1,Formula2,75
91,19,1,1,Formula1,150
92,53,1,1,Formula2,150
93,11,1,1,Formula1,75
94,94,1,1,Formula2,75
95,22,1,1,Formula1,150
96,63,1,1,Formula2,150
