StdOrder,InjTemp,CoolTemp,Strength,Temp
1,85,25,21.3431,63.62742059
2,85,25,32.8514,66.00195224
3,85,25,30.0842,71.52117365
4,85,25,36.1254,64.39294339
5,100,25,25.953,69.78874578
6,100,25,34.8078,68.78605359
7,100,25,32.3947,64.65708609
8,100,25,38.1821,69.45408407
9,85,45,19.2189,64.13968486
10,85,45,24.9666,71.95661965
11,85,45,23.9604,72.26336585
12,85,45,30.3459,67.32505205
13,100,45,26.3614,65.45596195
14,100,45,29.3391,67.38862088
15,100,45,29.8344,66.89365348
16,100,45,37.3687,65.80447862
17,85,25,21.0768,70.21584463
18,85,25,34.661,64.1505547
19,85,25,27.932,72.16664113
20,85,25,35.8007,65.26720388
21,100,25,27.8182,68.42932045
22,100,25,33.1448,71.0436154
23,100,25,36.2992,66.02224889
24,100,25,38.4477,72.61976774
25,85,45,21.018,68.70477577
26,85,45,22.0226,64.92876013
27,85,45,30.247,71.99634393
28,85,45,30.1638,59.77794205
29,100,45,27.9331,65.82165086
30,100,45,30.5737,68.1527383
31,100,45,28.4414,65.55215112
32,100,45,36.3314,68.03687772
33,85,25,22.2398,68.33388039
34,85,25,34.4545,64.65740564
35,85,25,26.3304,63.13036318
36,85,25,36.3693,70.76629621
37,100,25,27.517,67.64115352
38,100,25,36.8069,67.18503458
39,100,25,28.5634,66.84407669
40,100,25,37.755,64.37167371
41,85,45,19.1294,69.95472112
42,85,45,24.8473,70.94692028
43,85,45,19.8635,70.22646203
44,85,45,30.4708,64.64559075
45,100,45,26.1234,70.04447203
46,100,45,30.1436,66.00510742
47,100,45,25.1384,64.22955906
48,100,45,37.7826,66.37842964
49,85,25,24.2131,69.64411333
50,85,25,31.7531,69.24771925
51,85,25,25.6785,68.76735631
52,85,25,37.0575,72.17682896
53,100,25,24.3241,65.29240586
54,100,25,33.1212,66.58089088
55,100,25,36.4306,66.74972502
56,100,25,36.8923,70.70878133
57,85,45,20.0069,67.3913038
58,85,45,24.725,66.36369534
59,85,45,23.9909,64.46487635
60,85,45,30.6278,64.82531908
61,100,45,24.1362,69.08413386
62,100,45,26.7988,69.06393695
63,100,45,30.7354,66.93764158
64,100,45,37.0736,70.50156911
65,85,25,21.0645,70.35234862
66,85,25,31.2098,67.99433384
67,85,25,25.6289,65.67315927
68,85,25,36.0599,68.98585692
69,100,25,24.4449,68.46831642
70,100,25,32.7127,67.91778405
71,100,25,32.4285,71.43475337
72,100,25,37.7898,68.18534054
73,85,45,18.9095,67.29941738
74,85,45,22.6113,69.45853508
75,85,45,23.6823,71.82376293
76,85,45,31.1139,67.88617623
77,100,45,26.9922,67.84125326
78,100,45,30.4621,73.99131407
79,100,45,29.4096,66.86345435
80,100,45,36.8517,70.69868341
81,85,25,23.8435,69.05611029
82,85,25,34.7046,65.88301853
83,85,25,37.5253,68.70533348
84,85,25,36.6735,67.03137225
85,100,25,24.1705,67.84706759
86,100,25,35.8543,65.44814351
87,100,25,29.6503,60.50811854
88,100,25,37.0415,68.34178494
89,85,45,16.7888,63.30881283
90,85,45,25.3912,67.55226795
91,85,45,19.6317,69.98450311
92,85,45,30.1825,67.78706372
93,100,45,28.8493,70.69192181
94,100,45,27.3397,70.00448314
95,100,45,31.9554,66.29231908
96,100,45,37.7113,62.70244831
