StdOrder,RunOrder,CenterPt,Blocks,Material,InjPress,InjTemp,CoolTemp,Strength,Temp
48,62,1,1,Formula2,150,100,45,37.7826,66.37842964
49,70,1,1,Formula1,75,85,25,24.2131,69.64411333
50,91,1,1,Formula2,75,85,25,31.7531,69.24771925
51,46,1,1,Formula1,150,85,25,25.6785,68.76735631
52,28,1,1,Formula2,150,85,25,37.0575,72.17682896
53,12,1,1,Formula1,75,100,25,24.3241,65.29240586
54,74,1,1,Formula2,75,100,25,33.1212,66.58089088
55,47,1,1,Formula1,150,100,25,36.4306,66.74972502
56,71,1,1,Formula2,150,100,25,36.8923,70.70878133
57,51,1,1,Formula1,75,85,45,20.0069,67.3913038
58,4,1,1,Formula2,75,85,45,24.725,66.36369534
59,3,1,1,Formula1,150,85,45,23.9909,64.46487635
60,8,1,1,Formula2,150,85,45,30.6278,64.82531908
61,36,1,1,Formula1,75,100,45,24.1362,69.08413386
62,54,1,1,Formula2,75,100,45,26.7988,69.06393695
63,77,1,1,Formula1,150,100,45,30.7354,66.93764158
64,17,1,1,Formula2,150,100,45,37.0736,70.50156911
65,21,1,1,Formula1,75,85,25,21.0645,70.35234862
66,34,1,1,Formula2,75,85,25,31.2098,67.99433384
67,75,1,1,Formula1,150,85,25,25.6289,65.67315927
68,6,1,1,Formula2,150,85,25,36.0599,68.98585692
69,42,1,1,Formula1,75,100,25,24.4449,68.46831642
70,32,1,1,Formula2,75,100,25,32.7127,67.91778405
71,78,1,1,Formula1,150,100,25,32.4285,71.43475337
72,69,1,1,Formula2,150,100,25,37.7898,68.18534054
73,30,1,1,Formula1,75,85,45,18.9095,67.29941738
74,15,1,1,Formula2,75,85,45,22.6113,69.45853508
75,38,1,1,Formula1,150,85,45,23.6823,71.82376293
76,64,1,1,Formula2,150,85,45,31.1139,67.88617623
77,49,1,1,Formula1,75,100,45,26.9922,67.84125326
78,24,1,1,Formula2,75,100,45,30.4621,73.99131407
79,9,1,1,Formula1,150,100,45,29.4096,66.86345435
80,41,1,1,Formula2,150,100,45,36.8517,70.69868341
81,40,1,1,Formula1,75,85,25,23.8435,69.05611029
82,2,1,1,Formula2,75,85,25,34.7046,65.88301853
83,33,1,1,Formula1,150,85,25,37.5253,68.70533348
84,44,1,1,Formula2,150,85,25,36.6735,67.03137225
85,95,1,1,Formula1,75,100,25,24.1705,67.84706759
86,82,1,1,Formula2,75,100,25,35.8543,65.44814351
87,31,1,1,Formula1,150,100,25,29.6503,60.50811854
88,96,1,1,Formula2,150,100,25,37.0415,68.34178494
89,90,1,1,Formula1,75,85,45,16.7888,63.30881283
90,37,1,1,Formula2,75,85,45,25.3912,67.55226795
91,19,1,1,Formula1,150,85,45,19.6317,69.98450311
92,53,1,1,Formula2,150,85,45,30.1825,67.78706372
93,11,1,1,Formula1,75,100,45,28.8493,70.69192181
94,94,1,1,Formula2,75,100,45,27.3397,70.00448314
95,22,1,1,Formula1,150,100,45,31.9554,66.29231908
96,63,1,1,Formula2,150,100,45,37.7113,62.70244831
