att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
v2,7839,0,29656,66,3519,0.911,7327,29,0.46, class2
v3,8181,0,17588,45,3699,0.647,6410,38,0.45, class2
v3,8069,2,29746,31,1566,0.866,6774,38,0.63, class1
v3,7883,2,28712,71,2931,0.648,7197,66,0.9, class1
v3,7805,1,29631,56,1305,0.873,4396,57,0.65, class2
v2,7667,2,,71,5264,0.651,4618,66,0.88, class2
v3,8044,1,26138,69,5474,0.862,3897,40,0.77, class1
v1,7784,0,21328,35,2107,0.424,6143,45,0.89, class1
v3,8150,1,26387,56,4834,0.905,7188,57,0.42, class2
v2,8057,0,27495,28,4226,0.522,4925,22,0.79, class1
v1,7741,2,23725,41,4357,0.686,3381,28,0.66, class1
v1,7627,1,29563,40,5514,0.647,5366,48,0.44, class2
v3,8074,1,29583,72,3360,0.639,6423,30,0.84, class2
v1,7949,0,29340,72,4942,0.718,5979,24,0.72, class1
v2,7857,0,29697,27,5221,0.882,7160,100,0.39, class1
v2,7950,0,28838,52,5664,0.908,7129,59,0.66, class1
v1,8001,0,29396,47,1340,0.867,6238,51,0.5, class1
v1,7632,2,22294,56,1999,0.851,6592,40,0.64, class1
v3,7901,2,28163,52,5079,0.569,5379,59,0.78, class1
v1,7767,1,21818,65,3000,0.575,4310,59,0.41, class2
v2,8181,2,29672,42,5406,0.805,6799,36,0.81, class1
v2,8152,1,18381,54,5486,0.888,3869,34,0.44, class1
v3,7803,0,18750,26,5679,0.907,6482,30,0.59, class2
v3,7629,0,29587,51,2652,0.909,6840,27,0.65, class2
v2,7733,0,29378,35,5705,0.914,4047,40,0.65, class2
v1,7947,0,,49,1482,0.874,5150,31,0.49, class1
v2,7949,0,22196,,5476,0.893,4327,17,0.41, class1
v2,7581,0,22056,36,5672,0.448,4753,51,0.85, class1
v2,,2,20709,67,5562,0.876,5835,66,0.88, class1
v2,7763,2,27098,61,5418,0.668,6066,58,0.56, class1
v1,8162,1,28346,72,1200,0.496,6450,64,0.61, class1
v3,8164,0,29750,27,5681,0.488,6309,42,0.52, class1
v3,8148,0,25033,35,5542,0.851,7253,57,0.89, class1
v2,7756,1,,55,1273,0.899,5710,50,0.89, class1
v2,7928,0,22372,33,5495,0.67,6881,13,0.8, class2
v2,7826,1,25024,34,1503,0.663,5513,36,0.9, class1
v3,8166,1,23417,69,5103,0.414,7150,27,0.41, class1
v1,8162,1,24718,53,2460,0.657,4593,24,0.82, class2
v2,7923,2,29708,38,1797,0.672,6374,33,0.42, class1
v3,8096,1,24347,42,5475,0.91,6776,14,0.43, class1
v2,7932,1,29775,54,5552,0.786,6782,26,0.48, class2
v3,7737,2,29725,48,5399,0.461,6561,33,0.9, class1
v2,7867,0,29599,69,5714,0.647,7084,63,0.65, class1
v3,7848,0,29107,32,5443,0.661,5353,46,0.7, class2
v1,7845,0,29749,32,5674,0.909,5229,42,0.88, class2
v2,7947,2,29662,72,1262,0.485,4729,12,0.83, class1
v1,7551,1,27508,30,1379,0.876,5249,18,0.42, class1
v1,7951,1,28201,42,4117,0.902,5650,31,0.47, class2
v2,7827,0,18581,35,4951,0.656,6960,33,0.65, class2
v3,7820,2,25827,38,1500,0.898,6179,31,0.61, class2
v3,7745,0,29538,71,3072,0.647,4624,33,0.63, class1
v2,8054,0,28333,72,2215,0.841,6276,35,0.61, class1
v3,7552,2,29435,26,5714,0.646,4615,51,0.53, class1
v3,7531,0,23375,60,4534,0.908,6835,33,0.4, class1
v1,7851,0,27898,68,5482,0.64,6604,31,0.47, class1
v1,7777,2,26518,40,5098,0.913,7124,34,0.39, class2
v1,8143,2,29488,38,5008,0.911,6309,37,0.5, class2
v1,7574,2,22916,35,1239,0.679,4706,57,0.88, class1
v2,8105,1,26754,34,5474,0.638,6597,23,0.71, class1
v2,7763,1,18433,66,2934,0.673,5694,56,0.89, class2
v2,7780,1,27361,72,1410,0.664,4505,21,0.89, class2
v3,7662,2,28409,63,1548,0.911,4780,15,0.4, class1
v2,7738,1,28228,36,5521,0.687,7199,20,0.64, class1
v3,8161,1,29750,72,4273,0.562,5776,27,0.61, class1
v2,7800,0,29672,29,5211,0.464,6006,33,0.85, class1
v2,7793,2,28977,41,1824,0.878,6662,49,0.64, class1
v1,8160,1,29064,52,5710,0.912,5982,63,0.41, class1
v1,7778,1,29156,55,1519,0.648,3961,24,0.39, class1
v2,7609,2,28096,49,1170,0.664,4992,20,0.39, class2
v3,8160,0,29678,54,5692,0.394,6809,29,0.89, class1
v2,7890,1,29514,51,1482,0.559,6542,59,0.58, class1
v2,8027,2,29606,46,5647,0.864,3313,40,0.43, class2
v3,7839,1,29712,72,5409,0.9,7069,19,0.77, class1
v2,8183,1,17779,71,5124,0.448,3563,56,0.67, class2
v2,7760,0,26878,38,2196,0.642,7317,25,0.64, class1
v3,8132,1,29454,71,3315,0.693,4237,23,0.89, class1
v2,7560,2,,33,5077,0.872,7275,41,0.88, class2
v2,7894,1,25358,26,1343,0.871,5067,21,0.54, class2
v1,8134,0,21930,32,5643,0.912,5674,25,0.56, class1
v1,7757,0,26104,29,2511,0.842,6317,24,0.42, class2
v1,7786,2,28957,39,5538,0.409,6681,35,0.64, class1
v2,7597,1,29126,72,1520,0.908,6794,56,0.88, class1
v3,7704,0,17906,72,1475,0.776,7277,16,0.88, class1
v2,7864,1,29176,32,5485,0.593,4777,50,0.6, class1
v1,7635,2,28713,63,1199,0.664,6054,21,0.58, class1
v3,8057,2,26730,33,1479,0.906,5517,64,0.44, class1
v2,7593,2,27766,72,2292,0.666,4854,43,0.47, class1
v1,7950,2,29159,27,1500,0.533,4306,66,0.43, class2
v1,7976,0,18141,28,5533,0.892,7061,22,0.73, class2
v1,7966,0,29741,40,1283,0.399,5045,19,0.89, class1
v2,7740,0,29534,55,5111,0.867,6394,59,0.47, class1
v3,7556,1,27307,37,4806,0.907,4369,23,0.59, class1
v3,7883,1,29653,54,4985,0.536,3242,57,0.74, class1
v2,8158,1,25163,70,5045,0.865,5445,13,0.88, class2
v1,8000,0,29725,51,3479,0.838,3719,58,0.6, class1
v3,7632,1,17379,65,1674,0.761,3644,38,0.5, class1
v2,7578,1,29449,72,5592,0.638,6102,21,0.41, class1
v3,8177,2,,39,5468,0.9,3762,42,0.61, class1
v2,7679,2,29157,32,4941,0.61,3494,39,0.79, class2
v2,8133,0,29526,40,5350,0.91,5345,49,0.55, class1
v1,7814,0,23863,34,1501,0.891,5974,59,0.65, class2
v1,7911,1,19112,48,1310,0.909,5868,15,0.75, class2
v2,7660,1,29686,34,5689,0.689,7336,33,0.62, class2
v3,7906,2,25530,51,5505,0.662,6678,24,0.41, class2
v2,7938,0,27030,65,5141,0.515,5162,23,0.62, class2
v2,7948,1,29435,48,5071,0.882,3998,18,0.42, class1
v3,7948,1,29556,64,4866,0.881,6754,19,0.63, class1
v3,7856,1,29557,53,1364,0.878,4377,58,0.49, class1
v1,7937,1,27535,47,5442,0.878,3268,45,0.56, class2
v2,8192,1,26139,33,1418,0.644,4316,36,0.53, class2
v1,7960,2,26357,71,5678,0.911,7041,37,0.52, class1
