price,normalized-loses,horsepower,bore,stroke,peak-rpm,engine-size
13495,,111,3.47,2.68,5000,130
16500,,111,3.47,2.68,5000,130
16500,,154,2.68,3.47,5000,152
13950,164,102,3.19,3.4,5500,109
17450,164,115,3.19,3.4,5500,136
15250,,110,3.19,3.4,5500,136
17710,158,110,3.19,3.4,5500,136
18920,,110,3.19,3.4,5500,136
23875,158,140,3.13,3.4,5500,131
,,160,3.13,3.4,5500,131
16430,192,101,3.5,2.8,5800,108
16925,192,101,3.5,2.8,5800,108
20970,188,121,3.31,3.19,4250,164
21105,188,121,3.31,3.19,4250,164
24565,,121,3.31,3.19,4250,164
30760,,182,3.62,3.39,5400,209
41315,,182,3.62,3.39,5400,209
36880,,182,3.62,3.39,5400,209
5151,121,48,2.91,3.03,5100,61
6295,98,70,3.03,3.11,5400,90
6575,81,70,3.03,3.11,5400,90
5572,118,68,2.97,3.23,5500,90
6377,118,68,2.97,3.23,5500,90
7957,118,102,3.03,3.39,5500,98
6229,148,68,2.97,3.23,5500,90
6692,148,68,2.97,3.23,5500,90
7609,148,68,2.97,3.23,5500,90
8558,148,102,3.03,3.39,5500,98
8921,110,88,3.34,3.46,5000,122
12964,145,145,3.6,3.9,5000,156
6479,137,58,2.91,3.41,4800,92
6855,137,76,2.91,3.41,6000,92
5399,101,60,2.91,3.07,5500,79
6529,101,76,2.91,3.41,6000,92
7129,101,76,2.91,3.41,6000,92
7295,110,76,2.91,3.41,6000,92
7295,78,76,2.92,3.41,6000,92
7895,106,86,3.15,3.58,5800,110
9095,106,86,3.15,3.58,5800,110
8845,85,86,3.15,3.58,5800,110
10295,85,86,3.15,3.58,5800,110
12945,85,101,3.15,3.58,5800,110
10345,107,100,3.15,3.58,5500,110
6785,,78,3.31,3.23,4800,111
,,70,3.03,3.11,5400,90
,,70,3.03,3.11,5400,90
11048,,90,3.43,3.23,5000,119
32250,145,176,3.63,4.17,4750,258
35550,,176,3.63,4.17,4750,258
36000,,262,3.54,2.76,5000,326
5195,104,68,3.03,3.15,5000,91
6095,104,68,3.03,3.15,5000,91
6795,104,68,3.03,3.15,5000,91
6695,113,68,3.03,3.15,5000,91
7395,113,68,3.08,3.15,5000,91
10945,150,101,,,6000,70
11845,150,101,,,6000,70
13645,150,101,,,6000,70
15645,150,135,,,6000,80
8845,129,84,3.39,3.39,4800,122
8495,115,84,3.39,3.39,4800,122
10595,129,84,3.39,3.39,4800,122
10245,115,84,3.39,3.39,4800,122
10795,,64,3.39,3.39,4650,122
11245,115,84,3.39,3.39,4800,122
18280,118,120,3.76,3.16,5000,140
18344,,72,3.43,3.64,4200,134
25552,93,123,3.58,3.64,4350,183
28248,93,123,3.58,3.64,4350,183
28176,93,123,3.58,3.64,4350,183
31600,93,123,3.58,3.64,4350,183
34184,,155,3.46,3.1,4750,234
