,price,normalized-loses,horsepower,bore,stroke,peak-rpm,engine-size
0,13495.0,122.0,111.0,3.47,2.68,5000.0,130
1,16500.0,122.0,111.0,3.47,2.68,5000.0,130
2,16500.0,122.0,154.0,2.68,3.47,5000.0,152
3,13950.0,164.0,102.0,3.19,3.4,5500.0,109
4,17450.0,164.0,115.0,3.19,3.4,5500.0,136
5,15250.0,122.0,110.0,3.19,3.4,5500.0,136
6,17710.0,158.0,110.0,3.19,3.4,5500.0,136
7,18920.0,122.0,110.0,3.19,3.4,5500.0,136
8,23875.0,158.0,140.0,3.13,3.4,5500.0,131
9,13207.129353233831,122.0,160.0,3.13,3.4,5500.0,131
10,16430.0,192.0,101.0,3.5,2.8,5800.0,108
11,16925.0,192.0,101.0,3.5,2.8,5800.0,108
12,20970.0,188.0,121.0,3.31,3.19,4250.0,164
13,21105.0,188.0,121.0,3.31,3.19,4250.0,164
14,24565.0,122.0,121.0,3.31,3.19,4250.0,164
15,30760.0,122.0,182.0,3.62,3.39,5400.0,209
16,41315.0,122.0,182.0,3.62,3.39,5400.0,209
17,36880.0,122.0,182.0,3.62,3.39,5400.0,209
18,5151.0,121.0,48.0,2.91,3.03,5100.0,61
19,6295.0,98.0,70.0,3.03,3.11,5400.0,90
20,6575.0,81.0,70.0,3.03,3.11,5400.0,90
21,5572.0,118.0,68.0,2.97,3.23,5500.0,90
22,6377.0,118.0,68.0,2.97,3.23,5500.0,90
23,7957.0,118.0,102.0,3.03,3.39,5500.0,98
24,6229.0,148.0,68.0,2.97,3.23,5500.0,90
25,6692.0,148.0,68.0,2.97,3.23,5500.0,90
26,7609.0,148.0,68.0,2.97,3.23,5500.0,90
27,8558.0,148.0,102.0,3.03,3.39,5500.0,98
28,8921.0,110.0,88.0,3.34,3.46,5000.0,122
29,12964.0,145.0,145.0,3.6,3.9,5000.0,156
30,6479.0,137.0,58.0,2.91,3.41,4800.0,92
31,6855.0,137.0,76.0,2.91,3.41,6000.0,92
32,5399.0,101.0,60.0,2.91,3.07,5500.0,79
33,6529.0,101.0,76.0,2.91,3.41,6000.0,92
34,7129.0,101.0,76.0,2.91,3.41,6000.0,92
35,7295.0,110.0,76.0,2.91,3.41,6000.0,92
36,7295.0,78.0,76.0,2.92,3.41,6000.0,92
37,7895.0,106.0,86.0,3.15,3.58,5800.0,110
38,9095.0,106.0,86.0,3.15,3.58,5800.0,110
39,8845.0,85.0,86.0,3.15,3.58,5800.0,110
40,10295.0,85.0,86.0,3.15,3.58,5800.0,110
41,12945.0,85.0,101.0,3.15,3.58,5800.0,110
42,10345.0,107.0,100.0,3.15,3.58,5500.0,110
43,6785.0,122.0,78.0,3.31,3.23,4800.0,111
44,13207.129353233831,122.0,70.0,3.03,3.11,5400.0,90
45,13207.129353233831,122.0,70.0,3.03,3.11,5400.0,90
46,11048.0,122.0,90.0,3.43,3.23,5000.0,119
47,32250.0,145.0,176.0,3.63,4.17,4750.0,258
48,35550.0,122.0,176.0,3.63,4.17,4750.0,258
49,36000.0,122.0,262.0,3.54,2.76,5000.0,326
50,5195.0,104.0,68.0,3.03,3.15,5000.0,91
51,6095.0,104.0,68.0,3.03,3.15,5000.0,91
