,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
3933,3934,103.0,0.0,USA,4500000.0,,4091,20.0,35.0,987,5.0,1000.0,1000.0,842.0,3408,5.7,Fair
1108,1109,94.0,1.0,USA,25000000.0,32003620.0,79141,355.0,127.0,2000,160.0,550.0,216.0,167.0,1102,6.5,Good
189,190,147.0,1.0,USA,130000000.0,138396624.0,178126,511.0,94.0,0,0.0,10000.0,898.0,877.0,12954,6.6,Good
3119,3120,130.0,8.0,USA,10000000.0,30651422.0,181737,1015.0,206.0,10000,0.0,13000.0,1000.0,769.0,16693,7.4,Good
1100,1101,109.0,0.0,USA,50000000.0,51019112.0,155745,1053.0,276.0,10000,37.0,11000.0,2000.0,651.0,14073,6.8,Good
4691,4692,104.0,,USA,1000000.0,,1354,17.0,23.0,523,0.0,601.0,524.0,195.0,1581,6.3,Good
3336,3337,103.0,0.0,USA,8000000.0,14879556.0,73640,441.0,175.0,0,729.0,2000.0,841.0,133.0,3516,7.3,Good
103,104,109.0,0.0,USA,150000000.0,63143812.0,124185,238.0,235.0,11000,226.0,12000.0,418.0,370.0,13388,6.1,Good
4847,4848,98.0,0.0,France,500000.0,,569,1.0,9.0,114,77.0,19.0,0.0,0.0,19,4.3,Fair
3700,3701,94.0,0.0,USA,5000000.0,104007828.0,76828,314.0,251.0,24000,24.0,581.0,438.0,434.0,2371,5.8,Fair
4982,4983,87.0,0.0,USA,70000.0,,13065,136.0,125.0,3000,59.0,35.0,28.0,9.0,97,5.8,Fair
3474,3475,112.0,8.0,USA,6600000.0,37295394.0,7973,59.0,52.0,0,70.0,1000.0,912.0,826.0,5959,5.7,Fair
1121,1122,95.0,0.0,UK,35000000.0,13401683.0,203461,588.0,432.0,46000,38.0,409.0,107.0,20.0,578,7.1,Good
527,528,136.0,1.0,USA,75000000.0,134006721.0,259492,415.0,122.0,51000,0.0,12000.0,2000.0,904.0,15999,7.4,Good
2107,2108,98.0,0.0,Canada,22000000.0,14252830.0,18900,242.0,93.0,0,4.0,3000.0,486.0,83.0,3769,5.3,Fair
4289,4290,104.0,1.0,USA,,977600.0,8204,98.0,200.0,0,129.0,991.0,962.0,887.0,3427,6.5,Good
1671,1672,108.0,1.0,USA,30000000.0,26525834.0,21998,227.0,110.0,0,631.0,631.0,199.0,95.0,1023,6.8,Good
620,621,91.0,1.0,USA,70000000.0,14294842.0,16761,277.0,92.0,391,8.0,349.0,324.0,298.0,1846,3.6,Bad
1674,1675,106.0,1.0,USA,30000000.0,24048000.0,23579,88.0,44.0,0,32.0,18000.0,723.0,650.0,20772,5.5,Fair
231,232,135.0,0.0,USA,120000000.0,43929341.0,57873,414.0,284.0,0,0.0,690.0,107.0,87.0,902,6.1,Good
4239,4240,89.0,0.0,Norway,15500000.0,313436.0,12244,95.0,67.0,0,16.0,117.0,21.0,14.0,155,7.6,Good
2065,2066,92.0,0.0,USA,23000000.0,20763013.0,30840,383.0,80.0,0,114.0,912.0,535.0,434.0,2355,2.8,Bad
3110,3111,75.0,0.0,USA,10000000.0,,111649,437.0,124.0,0,73.0,1000.0,745.0,581.0,3192,6.7,Good
2689,2690,111.0,1.0,USA,15000000.0,13034417.0,55665,118.0,230.0,10000,0.0,796.0,787.0,727.0,2633,6.9,Good
4950,4951,96.0,5.0,USA,114000.0,,87978,580.0,284.0,0,0.0,125.0,108.0,56.0,403,8.0,Good
3852,3853,98.0,,USA,5000000.0,10429707.0,10483,125.0,49.0,0,10.0,589.0,416.0,402.0,2705,5.4,Fair
886,887,95.0,0.0,UK,57000000.0,6768055.0,11148,229.0,76.0,437,906.0,956.0,579.0,287.0,2260,4.2,Fair
3895,3896,108.0,0.0,USA,4000000.0,,39857,300.0,203.0,0,228.0,431.0,426.0,358.0,2020,7.3,Good
3092,3093,98.0,1.0,USA,10000000.0,68353550.0,70141,385.0,139.0,0,235.0,4000.0,464.0,229.0,5270,5.9,Fair
2762,2763,119.0,0.0,USA,14000000.0,156645693.0,55101,201.0,94.0,3000,213.0,886.0,276.0,249.0,1639,6.9,Good
4088,4089,96.0,0.0,UK,1900000.0,4170647.0,14548,161.0,82.0,1000,70.0,883.0,183.0,163.0,1616,6.9,Good
2739,2740,110.0,0.0,Thailand,300000000.0,102055.0,24570,72.0,110.0,0,0.0,64.0,45.0,7.0,134,6.2,Good
1630,1631,107.0,1.0,USA,27800000.0,55210049.0,43743,293.0,98.0,0,0.0,12000.0,664.0,643.0,14710,5.4,Fair
3004,3005,134.0,0.0,Hungary,2500000000.0,195888.0,5603,45.0,73.0,607,45.0,9.0,2.0,0.0,11,7.1,Good
2681,2682,97.0,1.0,USA,15000000.0,14938570.0,111625,369.0,414.0,20000,181.0,11000.0,820.0,748.0,14025,6.2,Good
4954,4955,111.0,0.0,USA,100000.0,10174663.0,12399,382.0,31.0,0,589.0,589.0,150.0,51.0,916,6.7,Good
2590,2591,110.0,0.0,France,16000000.0,,12817,43.0,69.0,0,22.0,5000.0,170.0,44.0,5273,6.7,Good
4880,4881,95.0,1.0,USA,250000.0,,1488,28.0,12.0,519,7.0,236.0,206.0,89.0,537,4.4,Fair
812,813,114.0,1.0,USA,60000000.0,12065985.0,16260,88.0,56.0,296,65.0,743.0,730.0,440.0,2367,4.9,Fair
